name,description,Flights Released for Departures,Departure Rate [per 15 min],Landed Flights,Arrival Rate [per 15 min]
LIMC_2022_05_27_12_28_49_0,Threat on fingers - Drone 01,15.0,6.058339566192969,0.0,0.0
LIMC_2022_05_30_10_18_17_859,Threat on 35L - Drone 01,15.0,4.436307302302655,0.0,0.0
LIMC_2022_05_30_10_58_02_433,Threat on 35L - Drone 02,14.0,4.9220672682526665,0.0,0.0
LIMC_2022_05_30_12_12_20_307,Threat on 35L - Drone 03,17.0,5.312868949232586,0.0,0.0
LIMC_2022_05_30_15_49_28_355,Threat on routes - Drone 01,19.0,5.262901418059548,0.0,0.0
LIMC_2022_06_01_10_55_02_822,Threat on routes - Drone 03,17.0,4.922605699283488,0.0,0.0
LIMC_2022_06_01_11_28_43_84,Threat on 35R - Drone 03,17.0,5.492981190700772,0.0,0.0
LIMC_2022_06_23_16_08_29_326,Threat on 35R - Drone 01,13.0,6.8965517241379315,0.0,0.0
LIMC_2022_06_23_16_24_00_266,Threat on 35R - Drone 02,11.0,6.143344709897611,0.0,0.0
LIMC_2022_06_23_16_36_37_93,Threat parallel to runways - Drone 01,13.0,4.963600264725347,0.0,0.0
LIMC_2022_06_24_12_21_11_85,Threat parallel to runways - Drone 04,19.0,4.132058934012271,0.0,0.0
LIMC_2022_06_24_12_37_38_218,Threat on tower - Drone 01,15.0,5.633802816901409,0.0,0.0
mean,,15.416666666666666,5.348119153641605,0.0,0.0
standard_deviation,,2.3614378858841256,0.734063175331206,0.0,0.0
