name,description,Yellow Infringements,Orange Infringements,Red Infringements,Mean Time of Yellow Infringements [s],Worst Time of Yellow Infringements [s],Mean Time of Orange Infringements [s],Worst Time of Orange Infringements [s],Mean Time of Red Infringements [s],Worst Time of Red Infringements [s],Yellow Plane-Infringements,Yellow Asset-Infringements,Orange Plane-Infringements,Orange Asset-Infringements,Red Plane-Infringements,Red Asset-Infringements,Mean Time of Yellow Plane-Infringements [s],Worst Time of Yellow Plane-Infringements [s],Mean Time of Yellow Asset-Infringements [s],Worst Time of Yellow Asset-Infringements [s],Mean Time of Orange Plane-Infringements [s],Worst Time of Orange Plane-Infringements [s],Mean Time of Orange Asset-Infringements [s],Worst Time of Orange Asset-Infringements [s],Mean Time of Red Plane-Infringements [s],Worst Time of Red Plane-Infringements [s],Mean Time of Red Asset-Infringements [s],Worst Time of Red Asset-Infringements [s],Safety Degradation
LIMC_2022_05_27_12_28_49_0,Threat on fingers - Drone 01,15.0,7.0,2.0,93.86666666666666,139.0,47.57142857142857,96.0,41.5,45.0,5.0,10.0,1.0,6.0,0.0,2.0,110.0,138.0,85.8,139.0,20.0,20.0,52.166666666666664,96.0,0.0,0.0,41.5,45.0,3.0
LIMC_2022_05_30_10_18_17_859,Threat on 35L - Drone 01,3.0,2.0,0.0,183.0,320.0,333.0,342.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,183.0,320.0,0.0,0.0,333.0,342.0,0.0,0.0,0.0,0.0,2.0
LIMC_2022_05_30_10_58_02_433,Threat on 35L - Drone 02,10.0,2.0,0.0,284.5,402.0,263.0,271.0,0.0,0.0,4.0,6.0,0.0,2.0,0.0,0.0,305.5,356.0,270.5,402.0,0.0,0.0,263.0,271.0,0.0,0.0,0.0,0.0,2.0
LIMC_2022_05_30_12_12_20_307,Threat on 35L - Drone 03,3.0,2.0,0.0,347.0,829.0,700.0,704.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,347.0,829.0,0.0,0.0,700.0,704.0,0.0,0.0,0.0,0.0,2.0
LIMC_2022_05_30_15_49_28_355,Threat on routes - Drone 01,2.0,0.0,0.0,430.45,470.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,430.45,470.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LIMC_2022_06_01_10_55_02_822,Threat on routes - Drone 03,2.0,2.0,0.0,374.5,412.0,695.5,717.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,374.5,412.0,0.0,0.0,695.5,717.0,0.0,0.0,0.0,0.0,2.0
LIMC_2022_06_01_11_28_43_84,Threat on 35R - Drone 03,3.0,2.0,0.0,139.0,206.0,615.5,617.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,13.0,13.0,202.0,206.0,0.0,0.0,615.5,617.0,0.0,0.0,0.0,0.0,2.0
LIMC_2022_06_23_16_08_29_326,Threat on 35R - Drone 01,2.0,1.0,0.0,221.0,356.0,293.0,293.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,221.0,356.0,0.0,0.0,293.0,293.0,0.0,0.0,0.0,0.0,2.0
LIMC_2022_06_23_16_24_00_266,Threat on 35R - Drone 02,1.0,1.0,0.0,43.0,43.0,410.0,410.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,410.0,410.0,0.0,0.0,0.0,0.0,2.0
LIMC_2022_06_23_16_36_37_93,Threat parallel to runways - Drone 01,11.0,0.0,1.0,161.1909090909091,206.0,0.0,0.0,188.0,188.0,1.0,10.0,0.0,0.0,0.0,0.0,105.0,105.0,166.81,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
LIMC_2022_06_24_12_21_11_85,Threat parallel to runways - Drone 04,16.0,0.0,2.0,236.23125,467.6,0.0,0.0,249.0,469.0,4.0,12.0,0.0,0.0,0.0,0.0,132.5,195.0,270.80833333333334,467.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
LIMC_2022_06_24_12_37_38_218,Threat on tower - Drone 01,7.0,2.0,0.0,427.2857142857143,610.0,481.5,508.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,506.0,586.0,395.8,610.0,0.0,0.0,481.5,508.0,0.0,0.0,0.0,0.0,2.0
mean,,6.25,1.75,0.4166666666666667,245.0853783369408,371.75,319.92261904761904,329.8333333333333,39.875,58.5,1.4166666666666667,4.833333333333333,0.08333333333333333,1.6666666666666667,0.0,0.16666666666666666,97.66666666666667,116.08333333333333,249.22236111111113,371.75,1.6666666666666667,1.6666666666666667,320.3055555555556,329.8333333333333,0.0,0.0,3.4583333333333335,3.75,2.0
standard_deviation,,5.182100603680584,1.7853571071357126,0.7592027982620249,123.4086490077928,205.63239247096587,256.98038262950325,257.64116950173593,81.6430556855062,134.24573239647756,1.8008485654145256,3.6476781047065483,0.27638539919628324,1.545603082582617,0.0,0.5527707983925665,151.58912853133265,177.17479990738588,116.8832354208011,205.63239247096587,5.527707983925666,5.527707983925666,256.5773639135758,257.64116950173593,0.0,0.0,11.469994066645754,12.43734296383275,0.408248290463863
