;Reference Scenario;;;;;;;;;;;;
Threat Scenario;Yellow Infringements;Orange Infringements;Red Infringements;Mean Time of Yellow Infringements [s];Mean Time of Orange Infringements [s];Mean Time of Red Infringements [s];Yellow Plane-Infringements;Yellow Asset-Infringements;Orange Plane-Infringements;Orange Asset-Infringements;Red Plane-Infringements;Red Asset-Infringements;Safety Degradation
Threat on 35L - Drone 01;8;3;2;74.38;71.00;1906.50;2;6;0;3;0;2;4
Threat on 35L - Drone 02;12;5;2;772.80;445.78;1011.45;3;9;0;5;0;2;4
Threat on 35L - Drone 03;5;4;1;51.40;1544.00;2047.00;0;5;0;4;0;1;4
Threat on 35R - Drone 01;5;4;1;418.58;1332.18;1760.90;1;4;0;4;0;1;4
Threat on 35R - Drone 02;2;2;1;36.00;1102.00;2188.00;0;2;0;2;0;1;4
Threat on 35R - Drone 03;4;2;1;1076.85;1098.35;2103.70;0;4;0;2;0;1;4
Threat on fingers - Drone 01;10;6;2;1178.08;970.48;41.50;3;7;0;6;0;2;4
Threat parallel to runways - Drone 01;8;0;0;591.35;0.00;0.00;1;7;0;0;0;0;4
Threat parallel to runways - Drone 04;3;0;0;198.67;0.00;0.00;0;3;0;0;0;0;4
Threat on routes - Drone 01;2;0;0;2033.50;0.00;0.00;0;2;0;0;0;0;4
Threat on routes - Drone 03;2;2;0;159.50;1976.50;0.00;0;2;0;2;0;0;4
Threat on tower - Drone 01;11;4;1;1374.64;22.75;12.00;3;8;0;4;0;1;4
Mean;6.00;2.67;0.92;663.81;713.59;922.59;1.08;4.92;0.00;2.67;0.00;0.92;4.00
Standard Deviation;3.51;1.93;0.76;611.08;678.33;955.23;1.26;2.36;0.00;1.93;0.00;0.76;0.00
